sample-id,year,year_code,site,site_code,plot,pair,block,litter,removal,removal_held,elevation,disturbance_distance,disturbance_type,soil_moisture,summer_precip,summer_temp,snowpack,snowfall,plate_row,plate_column,project_id,ggbc_filename
EL30B,2025,B,Emerald Lake,EL,30,15,1,Castilleja,R,yes,3218.55,6.88,Trail,4.11,1.0,19.74,90,226.0,F,9,7160,7160_EL30B-ds.b5e8a48291174e8890b514e0d7cae2aa
EL31A,2024,A,Emerald Lake,EL,31,16,2,Control,C,,3216.43,2.95,Treeline,9.58,2.24,18.13,164,300.4,G,4,7160,7160_EL31A-ds.d7956c20d52a4b0a876b6b15e641173b
EL31B,2025,B,Emerald Lake,EL,31,16,2,Control,C,yes,3216.43,2.95,Treeline,3.35,1.0,19.74,90,226.0,G,9,7160,7160_EL31B-ds.7cae84762fd64f25b25ec45350873354
EL32A,2024,A,Emerald Lake,EL,32,16,2,Control,R,,3215.72,5.1,Treeline,9.16,2.24,18.13,164,300.4,H,4,7160,7160_EL32A-ds.ddd026527c6a44569eda9212c52f9833
EL32B,2025,B,Emerald Lake,EL,32,16,2,Control,R,yes,3215.72,5.1,Treeline,4.7,1.0,19.74,90,226.0,H,9,7160,7160_EL32B-ds.606e4e3c60e74b16bbe9685947a49405
EL33A,2024,A,Emerald Lake,EL,33,17,4,Community,R,,3210.96,5.61,Trail,9.68,2.24,18.13,164,300.4,A,5,7160,7160_EL33A-ds.60fcae3462e7461e89d7bdf4ab4188a0
EL33B,2025,B,Emerald Lake,EL,33,17,4,Community,R,yes,3210.96,5.61,Trail,5.14,1.0,19.74,90,226.0,A,10,7160,7160_EL33B-ds.1c248730a42e47e092463076943d8183
EL34A,2024,A,Emerald Lake,EL,34,17,4,Community,C,,3214.84,2.77,Trail,8.89,2.24,18.13,164,300.4,B,5,7160,7160_EL34A-ds.9195a7db7e4e48b1a104a74100560f11
EL34B,2025,B,Emerald Lake,EL,34,17,4,Community,C,yes,3214.84,2.77,Trail,5.09,1.0,19.74,90,226.0,B,10,7160,7160_EL34B-ds.c7e5ff5f322c4bcb80fc2a670e581977
EL35A,2024,A,Emerald Lake,EL,35,18,5,Community,C,,3208.33,3.55,Trail,12.35,2.24,18.13,164,300.4,C,5,7160,7160_EL35A-ds.72a9adb076c74c96bd0b484eb00e1a9d
EL36A,2024,A,Emerald Lake,EL,36,18,5,Community,R,,3208.76,4.0,Treeline,11.73,2.24,18.13,164,300.4,D,5,7160,7160_EL36A-ds.92c17f4c3c6f4cbbac29bad4c68af455
EL36B,2025,B,Emerald Lake,EL,36,18,5,Community,R,yes,3208.76,4.0,Treeline,4.89,1.0,19.74,90,226.0,D,10,7160,7160_EL36B-ds.0a94914ff25f4ad38cd8dd6b68c310a3
EL37A,2024,A,Emerald Lake,EL,37,19,5,Castilleja,C,,3208.84,4.3,Treeline,5.75,2.24,18.13,164,300.4,E,5,7160,7160_EL37A-ds.9e8575c3ccec4f5294700085a26798e9
EL37B,2025,B,Emerald Lake,EL,37,19,5,Castilleja,C,yes,3208.84,4.3,Treeline,3.61,1.0,19.74,90,226.0,E,10,7160,7160_EL37B-ds.4d9f20350f754b1e95d67dc0c52afbb0
EL38A,2024,A,Emerald Lake,EL,38,19,5,Castilleja,R,,3208.21,3.7,Treeline,5.75,2.24,18.13,164,300.4,F,5,7160,7160_EL38A-ds.8c2d07a012054123b9d8320a8b2a078b
EL39A,2024,A,Emerald Lake,EL,39,20,4,Mixed,C,,3210.32,1.9,Trail,14.78,2.24,18.13,164,300.4,G,5,7160,7160_EL39A-ds.93b69e8ae1794f8bb2a6a6dd4dd024b9
EL39B,2025,B,Emerald Lake,EL,39,20,4,Mixed,C,yes,3210.32,1.9,Trail,4.84,1.0,19.74,90,226.0,G,10,7160,7160_EL39B-ds.ef443fef64684843aac56c52f6a2ced5
