bites,replicate_id,type,treatment,cross-treatment_group,root_type,pot_id,slide_id,views,blue,hyphae,extraradical,vesicle,arbuscule,spore,dse,microsclerotia,prop_total,prop_hyphae,prop_extra,prop_vesicle,prop_arb,prop_spore,prop_dse,prop_microsclerotia
34,6,host-parasite,innoculated,4,host,6bi,27,100,21,16,1,2,1,1,0,0,0.210,0.160,0.010,0.020,0.010,0.010,0.000,0.000
28,5,host-parasite,innoculated,4,host,5bi,116,100,26,13,7,6,0,0,0,0,0.260,0.130,0.070,0.060,0.000,0.000,0.000,0.000
52,9,host-parasite,innoculated,4,host,9bi,109,100,45,31,5,9,0,0,0,0,0.450,0.310,0.050,0.090,0.000,0.000,0.000,0.000
16,3,host-parasite,innoculated,4,host,3bi,92,100,46,36,7,8,0,0,0,0,0.460,0.360,0.070,0.080,0.000,0.000,0.000,0.000
4,1,host-parasite,innoculated,4,host,1bi,126,72,13,9,5,2,0,0,0,0,0.181,0.125,0.069,0.028,0.000,0.000,0.000,0.000
22,4,host-parasite,innoculated,4,host,4bi,111,100,18,19,4,8,0,0,0,0,0.180,0.190,0.040,0.080,0.000,0.000,0.000,0.000
58,10,host-parasite,innoculated,4,host,10bi,71,100,37,16,11,14,0,0,0,0,0.370,0.160,0.110,0.140,0.000,0.000,0.000,0.000
64,11,host-parasite,innoculated,4,host,11bi,23,100,43,27,11,17,2,0,0,0,0.430,0.270,0.110,0.170,0.020,0.000,0.000,0.000
70,12,host-parasite,innoculated,4,host,12bi,141,60,17,13,2,5,0,0,2,0,0.283,0.217,0.033,0.083,0.000,0.000,0.033,0.000
52,9,host-parasite,innoculated,4,host parasite,9bi,46,70,33,25,4,12,0,0,0,1,0.471,0.357,0.057,0.171,0.000,0.000,0.000,0.014
10,2,host-parasite,innoculated,4,host parasite,2bi,39,77,18,14,2,2,0,0,0,0,0.234,0.182,0.026,0.026,0.000,0.000,0.000,0.000
