"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","data.dwc:eventDate","data.dwc:year","data.dwc:month","data.dwc:day","collector","recordset"
"0008a1d4-bc68-4732-9652-6ca1d9684f6e","https://data.biodiversitydata.nl/naturalis/specimen/wag.1183875","wag.1183875","orobanchaceae","melampyrum","melampyrum nemorosum",NA,NA,NA,NA,"1854-08-09",NA,NA,NA,"jayet b","fabcdc12-9d29-4bd2-912b-176e71818144"
"0008c968-9b04-4b7d-aa18-1fc72f44dbd3","s:vascularplants:s22-21059","s22-21059","orobanchaceae","odontites","odontites vulgaris","sweden","öland",NA,NA,"1946-08-26","1946","08","26","martinsson, anders","fc014977-92f7-47fd-92d7-b609c39d8212"
"0008cedd-4f26-4d2f-890f-61b09e2b4ced","fc9b86d5129562867c84835425d98582","188870","orobanchaceae","lamourouxia","lamourouxia rhinanthifolia","mexico","ciudad de mexico",NA,NA,"1954-06-06","1954","6","6","dudley b. gold","765aa536-b79e-4794-a0d2-40a160233922"
"0008e3c1-4a41-44ad-b090-cabd65536e69","4a7044a6-3fa9-4733-9e43-d5b50a2d4861","100834","orobanchaceae","agalinis","agalinis fasciculata","united states","florida",NA,NA,"1967-10-05","1967","10","5","w.g. d'arcy","781fd581-7b93-471e-a025-413e4bcd8491"
"00090157-d401-4b30-b6fb-b007e6ec678b","urn:catalog:mo:tropicos:3534137","3534137","orobanchaceae","agalinis","agalinis tenuifolia","united states","missouri",NA,NA,NA,"1886","9","11","louis h. pammel","5386d272-06c6-4027-b5d5-d588c2afe5e5"
"00090cfe-b8b0-48cd-b054-77d8cba8f789","afd569b7e2db17146e7fe20c42cc68fd","133152","orobanchaceae","castilleja","castilleja durangensis","mexico","durango",NA,NA,"1966-08-06","1966","8","6","robert w. cruden","765aa536-b79e-4794-a0d2-40a160233922"
"00092b9d-e77e-4888-9823-e221a00e9f6e","7d025b6d-4c4e-41ea-ad8a-f88e7d211023","tex00179712","orobanchaceae","castilleja","castilleja pectinata","mexico","puebla",-97.30833,19.075,"1986-09-07","1986","9","7","michael h. nee|jacqui a. soule","2d7910d9-7f63-4bde-918a-9e0265f1c245"
"00096512-35c5-48f5-970a-18102fa5d7ea","8bfbee2d-9da1-43dc-802f-a50637dbeba5","3322121","orobanchaceae","triphysaria","triphysaria pusilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,"36d35b23-113e-4633-90ec-19d265a3b5f6"
"00097718-997f-4b90-a801-17285a62ea22","urn:catalog:fcn-uaq:qmex:no aplica:554113e2b426602de31ef233d37f3a53","no aplica","orobanchaceae","lamourouxia","lamourouxia dasyantha","mexico","queretaro",-100.1969444,20.9055555,"1999-10-20","1999","10","20","r. hernández","33b5b5e7-f4e6-435c-9e0f-bb264d58581b"
"00097d87-e849-4543-87e1-c6aa5896b408","1836b88b-6774-43a6-815f-8e39300c0a55","duke10114504","orobanchaceae","agalinis","agalinis fasciculata","united states","mississippi",NA,NA,NA,NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"0009a0b3-cdf0-4518-850d-9df9714f4646","6f704c67-a663-46ed-ab03-c257046a028c","3298794","orobanchaceae","pedicularis","pedicularis canadensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"36d35b23-113e-4633-90ec-19d265a3b5f6"
"0009d045-3443-46f3-81a6-03be41263219","urn:catalog:trom:v:159445","159445","orobanchaceae","euphrasia","euphrasia frigida","norway","nordland",14.6351,66.8616,NA,"1953","7","11","olaf i. rønning, ola skifte","703b5bdc-4581-47e3-b4b6-e6f32d0eec54"
"000a030e-0a80-4d73-9b0f-6aa33a9b2a5e","https://data.biodiversitydata.nl/naturalis/specimen/l.2806702","l.2806702","orobanchaceae","striga","striga asiatica","philippines","luzon",121.507,14.1971,"1912-06-01/1912-06-30",NA,NA,NA,"ramos m","fabcdc12-9d29-4bd2-912b-176e71818144"
"000a2ada-b53c-4d30-90aa-30e1a843708a","http://n2t.net/ark:/65665/30f09b59d-b2fd-4251-8fd5-4fbad1349cb7","us 424195","orobanchaceae","pedicularis","pedicularis verticillata","united states","alaska",NA,NA,"1890-07","1890","7",NA,"albatross","a6eee223-cf3b-4079-8bb2-b77dad8cae9d"
"000a592f-44d2-4ad1-bed3-1ec12624a5f3","cf4e0515-aab3-4c76-9183-7778359ac733","1230450","orobanchaceae","melampyrum","melampyrum lineare var. pectinatum","united states","michigan",-86.49703,44.046393,"1937-07-25","1937","07","25","harley h. bartlett","0583609b-202f-40d0-8021-4c019635d4c9"
"000a9056-2ad7-4475-97d7-a7a0bb8453e9","https://data.biodiversitydata.nl/naturalis/specimen/l.2884148","l.2884148","orobanchaceae","cordylanthus","cordylanthus pilosus","united states",NA,NA,NA,"1902-08-30",NA,NA,NA,"baker cf","fabcdc12-9d29-4bd2-912b-176e71818144"
"000b113f-1119-4b15-8f92-b06eec6e0ee4","59e0c837-cd84-41bb-9be1-aaf2faebd720","ph00355252","orobanchaceae","agalinis","agalinis purpurea","united states","new jersey",-74.59011,39.273248,"1937-09-10","1937","9","10","flora s. fender","65536dcd-7bb2-44e5-af3f-4a13f08e53d0"
"000b1ff1-8fe5-45bc-949f-b4160f0eb8d5","http://n2t.net/ark:/65665/3504de46d-c283-47c6-b8fc-e021ac81e2f7","us 3738151","orobanchaceae","castilleja","castilleja coccinea","united states","missouri",-90.675,38.125,"1992-04-18","1992","4","18","p. raven & t. raven","a6eee223-cf3b-4079-8bb2-b77dad8cae9d"
"000b210d-cb2f-4bcb-a5c2-74884f1a5e79","urn:catalog:o:v:844284","844284","orobanchaceae","pedicularis","pedicularis palustris","norway","trøndelag",NA,NA,NA,"1934","8","17","johs. haugen","e6ccc2bd-9451-4802-8a51-8640d9f09793"
"000b2c9c-376a-4a52-9346-751ae4f2551b","7ea5733933d3c63c0d859100a49b6f81","no disponible","orobanchaceae","lamourouxia","lamourouxia dasyantha","mexico","san luis potosi",-101.0922222,22.7197222,"1975-10-11","1975","10","11","h. puig","9401f7e8-7d41-4c57-a5da-8839be046935"
"000bbd92-2f00-4725-9bb0-d944caa62686","0b89b286-ba8b-11e3-8cfe-90b11c41863e","261974","orobanchaceae","pedicularis","pedicularis canadensis","united states","georgia",NA,NA,"1979-04-28","1979","4","28","samuel b jones; harriett g digioia","d7b285d4-2643-45ee-9302-b0c3d51dda5c"
"000c345f-6389-4a50-b37c-1b048ad89993","5d7eef4c-3fff-49de-bf0c-cd9d9714840d","duke10114398","orobanchaceae","agalinis","agalinis setacea","united states","north carolina",NA,NA,NA,NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"000c4ede-9ed1-4cd7-86ff-7017d879416d","2bb440c2-dffe-4ce0-bdcf-8fe9a32dccef","285428","orobanchaceae","castilleja","castilleja flava var. rustica","united states","idaho",-114.149574,43.712873,"1980-08-16","1980","8","16","barbara ertter, jeffery strachan","8b0c1f4b-9de7-4521-98c2-983e0bfd33c7"
"000c6e03-cbac-4689-a2c6-eda100112c78","156c5c68-6e83-4376-9b97-fa9efe47ddfc","5141555","orobanchaceae","castilleja","castilleja pallida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"36d35b23-113e-4633-90ec-19d265a3b5f6"
"000c9fba-5d53-43ae-b993-b9da25b545fb","1d778208-ad4b-44f4-aaa8-1ab7dd6a8e91","16020","orobanchaceae","castilleja","castilleja exilis","united states","idaho",-113.345972133219,42.4093672683475,"1951-08-27","1951","8","27","william h. baker","0fd6e726-6828-4f62-ba8d-6ec316fe0b52"
