"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","data.dwc:eventDate","data.dwc:year","data.dwc:month","data.dwc:day","collector","recordset"
"6715eb68-3a5f-4e85-ba36-9afc99acc592","http://n2t.net/ark:/65665/3468ca6b6-cef2-4f19-a0cb-f8568a62c69d","us 968874","orobanchaceae","macranthera","macranthera flammea","united states","florida",NA,NA,NA,NA,NA,NA,"ex herb. chapman","a6eee223-cf3b-4079-8bb2-b77dad8cae9d"
"67757d5b-b41c-4a95-b39c-e13a3d20ca52","377611e6-32e2-42a6-bd64-c2c1f269371a","212237","orobanchaceae","macranthera","macranthera flammea","united states","florida",-86.0166667,30.7333333,"1992-09-29","1992","9","29","steve l. orzell and edwin l. bridges","781fd581-7b93-471e-a025-413e4bcd8491"
"6790cc88-1312-44cf-af7d-23a77e83bfb1","urn:uuid:ae9afa26-0fe7-11e3-80ec-0050569e004a","vsc0059489","orobanchaceae","macranthera","macranthera flammea","united states","georgia",NA,NA,"2010-09-29",NA,NA,NA,"richard  carter, w.w. baker","76fd34da-4892-4821-858d-98fe9e28ba8b"
"67ba9ab9-8765-4d32-a8d9-0e02b02b392c","f851e088-ac20-41c0-895d-eeb0d3c1144a","miss0044317","orobanchaceae","macranthera","macranthera flammea","united states","mississippi",NA,NA,NA,"1966",NA,NA,"thomas m. pullen","5e29dbcc-ce45-4f05-9bb0-212baffa8932"
"683c3ff1-fde7-4071-b94b-1687e65c89d2","urn:uuid:66801dc0-9eff-43e3-a9fe-a0e164838363","000084970","orobanchaceae","macranthera","macranthera flammea","united states","florida",-84.8830834555,30.2411375728,"1979-09-15",NA,NA,NA,"r.k.  godfrey","b2b294ed-1742-4479-b0c8-a8891fccd7eb"
"68453b10-611a-4559-88a1-717bf1336d60","6d7c2820-d8df-4e46-bb4a-924892958301","ncu00056288","orobanchaceae","macranthera","macranthera flammea","united states","alabama",NA,NA,NA,"1972",NA,NA,"lelong, michel g.","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"6849b267-302f-408f-a9a9-ff79fdc4dec1","f4a9866c-f016-4da7-a227-11ca2e71190a","miss0044316","orobanchaceae","macranthera","macranthera flammea","united states","mississippi",NA,NA,NA,"1994",NA,NA,"d. wyrick & m. duran","5e29dbcc-ce45-4f05-9bb0-212baffa8932"
"685a6e1e-aca5-44b4-8bea-84a141b5dc0b","d3b70387-f1d7-47e6-8a03-154e7cc42649","ncu00056406","orobanchaceae","macranthera","macranthera flammea","united states","mississippi",NA,NA,NA,"1955",NA,NA,"ray, james","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"68bf0165-706c-4c9a-b258-c8bf297deb56","a3f76a9a-0e43-4aa3-91f2-29930d3d269f","asu0117454","orobanchaceae","macranthera","macranthera flammea","united states","georgia",NA,NA,"1968-09-02","1968","9","2","j.r. bozeman","40250f4d-7aa6-4fcc-ac38-2868fa4846bd"
"696430af-aa9a-4cdb-8b63-152905c77f3f","urn:uuid:020a486b-e613-4b6a-be91-1de2cec343ed","000085015","orobanchaceae","macranthera","macranthera flammea","united states","mississippi",-89.4887949163,30.4170456107,"1972-08-28",NA,NA,NA,"howard l. clark, kate   clark","b2b294ed-1742-4479-b0c8-a8891fccd7eb"
"6988fff4-6d78-4fea-8c15-8eabbaa914cf","22e803b2-5d48-4d66-9ac9-6de4b6a0a274","barcode-01880855","orobanchaceae","macranthera","macranthera flammea","united states","louisiana",NA,NA,NA,NA,NA,NA,"[data not captured]","7450a9e3-ef95-4f9e-8260-09b498d2c5e6"
