genus,species,parasitic_habit,native,ecosystem,host,inat_GA,inat_entire,protection_state,protection_fed,NatureServ_status_GA,DNR_monitor,DNR_status_GA,NatureServ_status,EO,accessions,habitat,DNR GA Biodiversity Link,SERNEC Herbarium Link,NatureServ Link,INat Link,Key Notes
Cuscuta,cephalanthi,Stem Holoparasite,Yes,Wetland,Generalist,0,51,No Georgia state protection,No US federal protection,SNA,N/A,SNA,G5,0,632,Assumed to be found on Buttonbush (Cephalanthus),Cuscuta cephalanthi (georgiabiodiversity.org),SERNEC - Cuscuta cephalanthi (sernecportal.org),Cuscuta cephalanthi | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 6/26/2024
Cuscuta,compacta,Stem Holoparasite,Yes,Wetland/ Savannah,Generalist,15,315,N/A,N/A,SNR,N/A,N/A,G5,0,2095,N/A,N/A,SERNEC - Cuscuta compacta (sernecportal.org),Cuscuta compacta | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 6/26/2024
Cuscuta,gronovii,Stem Holoparasite,Yes,Wetlands,Generalist,52,2456,N/A,N/A,SNR,N/A,N/A,G5,0,4960,N/A,N/A,SERNEC - Cuscuta gronovii (sernecportal.org),Cuscuta gronovii | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 5/16/2016
Cuscuta,harperi,Stem Holoparasite,Yes,Wetlands,Generalist,7,58,Endangered,No US federal protection,S1,less than 10,S1,G2,4,64,Altamaha Grit outcrops; granite outcrops; often with Liatris microcephala as host,Cuscuta harperi (georgiabiodiversity.org),SERNEC - Cuscuta harperi (sernecportal.org),Cuscuta harperi | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 1/26/2006; Nature Serve states that status needs review
Cuscuta,indecora,Stem Holoparasite,Yes,Wetlands,Generalist,1,357,N/A,N/A,SNR,N/A,N/A,N/A,0,2443,N/A,N/A,SERNEC - Cuscuta indecora (sernecportal.org),Cuscuta indecora | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 6/26/2024
Cuscuta,japonica,Stem Holoparasite,No,Tropical,Generalist,1,4,N/A,N/A,N/A,N/A,N/A,GNR,0,0,N/A,N/A,N/A,Cuscuta japonica | NatureServe Explorer,Observations · iNaturalist,N/A
Cuscuta,obtusiflora,Stem Holoparasite,Yes,Tropical,Generalist,0,7,No Georgia state protection,No US federal protection,SNR,N/A,SNR,G5,0,314,"Parasitic, often on Polygonum or Justicia",Cuscuta obtusiflora var. glandulosa (georgiabiodiversity.org),SERNEC - Cuscuta obtusiflora (sernecportal.org),Cuscuta obtusiflora | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 12/18/1986; Nature Serve states that status needs review
Cuscuta,pentagona,Stem Holoparasite,Yes,Wetland/Grassland,Generalist,7,369,N/A,N/A,SNR,N/A,N/A,G5,0,5377,N/A,N/A,SERNEC - Cuscuta pentagona (sernecportal.org),Cuscuta pentagona | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 6/26/2024
Cuscuta,rostrata,Stem Holoparasite,Yes,Woodland edge,Generalist,5,159,No Georgia state protection,No US federal protection,S3?,N/A,S3?,G4,0,360,High elevation forests on Eurybia chlorolepis,Cuscuta rostrata (georgiabiodiversity.org),SERNEC - Cuscuta rostrata (sernecportal.org),Cuscuta rostrata (georgiabiodiversity.org),Observations · iNaturalist,Global Status last reviewed 1/9/1991; Nature Serve states that status needs review
Dasistoma,macrophylla,Root Hemiparasite,Yes,Forest,Oak,6,2818,No Georgia state protection,No US federal protection,S1?,less than 10,S1?,G4,7,1281,Rocky limestone woods,Dasistoma macrophylla (georgiabiodiversity.org),SERNEC - Dasistoma macrophylla (sernecportal.org),Dasistoma macrophyllum | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 2/7/1992; Nature Serve states that status needs review
