"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Asclepias tuberosa",-84.127203,33.794924,"US","Georgia",NA,3709977934,"Apocynaceae","SPECIES",42,1995,"PRESERVED_SPECIMEN","GA",""
"Packera anonyma",-84.14575,33.806217,"US","Georgia",NA,3709841940,"Asteraceae","SPECIES",966,1901,"PRESERVED_SPECIMEN","GA",""
"Coreopsis major",-84.27068,34.30558,"US","Georgia",NA,3709931545,"Asteraceae","SPECIES",NA,2018,"PRESERVED_SPECIMEN","GA",""
"Asclepias tuberosa",-82.65085,33.98919,"US","Georgia",NA,4015892480,"Apocynaceae","SPECIES",NA,2010,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-82.648555,33.459466,"US","Georgia",NA,4030709303,"Poaceae","SPECIES",NA,2020,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-83.395145,34.014268,"US","Georgia",NA,4030703305,"Poaceae","SPECIES",NA,2020,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-83.091549,34.271193,"US","Georgia",NA,4030703311,"Poaceae","SPECIES",NA,2021,"PRESERVED_SPECIMEN","GA",""
"Packera anonyma",-83.334789,33.887,"US","Georgia",NA,4132080312,"Asteraceae","SPECIES",NA,2021,"PRESERVED_SPECIMEN","GA",""
"Coreopsis major",-84.448795,32.816148,"US","Georgia",NA,4132083350,"Asteraceae","SPECIES",NA,2000,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-82.031242,32.419085,"US","Georgia",NA,4132083601,"Poaceae","VARIETY",NA,1995,"PRESERVED_SPECIMEN","GA",""
"Asclepias tuberosa",-83.484992,32.502239,"US","Georgia",NA,3709943712,"Apocynaceae","SPECIES",NA,2010,"PRESERVED_SPECIMEN","GA",""
"Parthenium integrifolium",-84.157553,34.22961,"US","Georgia",NA,3709944017,"Asteraceae","SPECIES",4786,1947,"PRESERVED_SPECIMEN","GA",""
"Asclepias tuberosa",-83.482183,32.503725,"US","Georgia",NA,3709826624,"Apocynaceae","SPECIES",NA,2010,"PRESERVED_SPECIMEN","GA",""
