"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Eryngium yuccifolium",-84.400651,33.778872,"USA","Georgia",NA,4936413220,"Apiaceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.454725,34.840305,"USA","Georgia",NA,4133975932,"Apiaceae","SPECIES",28762,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.400453,33.779217,"USA","Georgia",NA,3903162596,"Apiaceae","SPECIES",4,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.171204,33.804806,"USA","Georgia",NA,3307448871,"Apiaceae","SPECIES",NA,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.733932,33.462029,"USA","Georgia",NA,4453667194,"Apiaceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.132294,34.18928,"USA","Georgia",NA,4908413136,"Apiaceae","SPECIES",8,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.432852,33.627904,"USA","Georgia",NA,4901876687,"Apiaceae","SPECIES",28930,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-82.858367,31.727119,"USA","Georgia",NA,4176975440,"Apiaceae","VARIETY",6,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.877995,34.881161,"USA","Georgia",NA,3892275411,"Apiaceae","SPECIES",NA,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.333378,34.612764,"USA","Georgia",NA,4153476827,"Apiaceae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-85.47767,34.786342,"USA","Georgia",NA,2579404808,"Apiaceae","SPECIES",4,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.257985,33.725775,"USA","Georgia",NA,3712550413,"Apiaceae","SPECIES",22,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.399891,33.779046,"USA","Georgia",NA,4936359425,"Apiaceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.648762,33.060604,"USA","Georgia",NA,4901719950,"Apiaceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.4393,34.80417,"USA","Georgia",NA,3302266104,"Apiaceae","SPECIES",10,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.160408,31.276822,"USA","Georgia",NA,2851213478,"Apiaceae","SPECIES",10,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-81.810478,32.038483,"USA","Georgia",NA,3902514708,"Apiaceae","SPECIES",16,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.400451,33.779237,"USA","Georgia",NA,3903469397,"Apiaceae","SPECIES",7,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.400322,33.779093,"USA","Georgia",NA,3903335379,"Apiaceae","SPECIES",4,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.531511,31.46793,"USA","Georgia",NA,4596859465,"Apiaceae","SPECIES",114,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.162842,33.810772,"USA","Georgia",NA,4145494692,"Apiaceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.888606,32.849163,"USA","Georgia",NA,3384520584,"Apiaceae","SPECIES",251,2008,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-82.136577,30.734844,"USA","Georgia",NA,1880474383,"Apiaceae","SPECIES",15,2018,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.365043,33.941287,"USA","Georgia",NA,4162387111,"Apiaceae","SPECIES",194,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.386296,34.65591,"USA","Georgia",NA,3994207010,"Apiaceae","SPECIES",28790,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
