"year","plot","code","functional_group","percent_cover","nearest_neighbor"
"Pre",25,"ELGL","grass",0.04,0
"Pre",25,"ERCO","forb",0.01,1
"Pre",25,"ERGR","forb",0.005,0
"Pre",25,"FRVI","forb",0.02,0
"Pre",25,"HEQU","forb",0.1,0
"Pre",25,"HYCA","forb",0.005,0
"Pre",25,"HYHO","forb",0.015,0
"Pre",25,"LIPO","forb",0.25,1
"Pre",25,"LUAR","legume",0.05,0
"Pre",25,"MESP","grass",0.02,0
"Pre",25,"POGR","forb",0.1,1
"Pre",25,"SECR","forb",0.01,0
"Pre",25,"VAOC","forb",0.03,0
"Pre",26,"ANSE","forb",0.001,0
"Pre",26,"CAHO","sedge",0.02,1
"Pre",26,"DEBA","forb",0.02,0
"Pre",26,"ELGL","grass",0.04,0
"Pre",26,"ERCO","forb",0.02,0
"Pre",26,"ERGR","forb",0.08,0
"Pre",26,"FRVI","forb",0.03,0
"Pre",26,"HEQU","forb",0.15,1
"Pre",26,"LIPO","forb",0.15,0
"Pre",26,"LUAR","legume",0.02,1
"Pre",26,"MESP","grass",0.05,0
"Pre",26,"MECI","forb",0.01,0
"Pre",26,"POGR","forb",0.08,1
"Pre",26,"VAOC","forb",0.06,0
"Pre",27,"ELGL","grass",0.03,1
"Pre",27,"ERCO","forb",0.01,0
"Pre",27,"ERGR","forb",0.005,0
"Pre",27,"GERI","forb",0.015,0
"Pre",27,"HEQU","forb",0.07,0
"Pre",27,"HYHO","forb",0.06,1
"Pre",27,"LIPO","forb",0.05,0
"Pre",27,"MESP","grass",0.005,0
"Pre",27,"POGR","forb",0.02,0
"Pre",27,"RIMO","shrub",0.3,0
"Pre",27,"SECR","forb",0.02,0
"Pre",28,"ANSE","forb",0.002,0
"Pre",28,"CAHO","sedge",0.002,0
"Pre",28,"DEBA","forb",0.01,0
"Pre",28,"ELGL","grass",0.06,1
"Pre",28,"ERGR","forb",0.01,1
"Pre",28,"FRVI","forb",0.01,0
"Pre",28,"HEQU","forb",0.02,0
"Pre",28,"HEMA","forb",0.08,0
"Pre",28,"HYHO","forb",0.06,0
"Pre",28,"MESP","grass",0.06,0
"Pre",28,"NOFE","forb",0.001,0
"Pre",28,"RIMO","shrub",0.25,0
"Pre",28,"SECR","forb",0.03,0
"Pre",29,"ANSE","forb",0.002,0
"Pre",29,"BAVU","forb",0.001,0
"Pre",29,"DEBA","forb",0.002,0
"Pre",29,"ELGL","grass",0.18,1
"Pre",29,"ERCO","forb",0.005,0
"Pre",29,"ERGR","forb",0.02,1
"Pre",29,"HEQU","forb",0.05,0
"Pre",29,"HEMA","forb",0.001,0
"Pre",29,"HYHO","forb",0.005,0
"Pre",29,"LIPO","forb",0.07,0
"Pre",29,"LUAR","legume",0.03,1
"Pre",29,"POGR","forb",0.03,1
"Pre",29,"RHIN","forb",0.002,0
"Pre",29,"VAOC","forb",0.005,1
"Pre",29,"VINU","forb",0.01,0
"Pre",30,"ANSE","forb",0.002,0
"Pre",30,"BAVU","forb",0.003,0
"Pre",30,"ELGL","grass",0.1,0
"Pre",30,"ERCO","forb",0.001,0
"Pre",30,"ERGR","forb",0.025,1
"Pre",30,"HEQU","forb",0.01,0
"Pre",30,"LIPO","forb",0.02,0
"Pre",30,"LUAR","legume",0.03,1
"Pre",30,"NOFE","forb",0.001,0
"Pre",30,"POGR","forb",0.01,0
"Pre",30,"SECR","forb",0.04,0
"Pre",31,"ANSE","forb",0.02,0
"Pre",31,"BAVU","forb",0.01,0
"Pre",31,"CHAN","forb",0.001,0
"Pre",31,"ELGL","grass",0.15,1
"Pre",31,"ERGR","forb",0.001,0
"Pre",31,"HEQU","forb",0.02,0
"Pre",31,"HYHO","forb",0.005,0
"Pre",31,"LUAR","legume",0.08,0
"Pre",31,"MESP","grass",0.01,0
"Pre",31,"PHAL","grass",0.001,0
"Pre",31,"POGR","forb",0.02,0
"Pre",31,"SECR","forb",0.02,0
"Pre",31,"VAOC","forb",0.02,1
"Pre",32,"ANSE","forb",0.002,0
"Pre",32,"CHAN","forb",0.05,0
"Pre",32,"DEBA","forb",0.015,0
"Pre",32,"ELGL","grass",0.13,0
"Pre",32,"ERCO","forb",0.002,0
"Pre",32,"ERGR","forb",0.05,0
"Pre",32,"HEQU","forb",0.01,0
"Pre",32,"LUAR","legume",0.06,1
"Pre",32,"NOFE","forb",0.001,0
"Pre",32,"POGR","forb",0.05,0
"Pre",32,"VECA","forb",0.03,0
"Pre",33,"ANSE","forb",0.02,0
"Pre",33,"CHAN","forb",0.04,1
"Pre",33,"DEBA","forb",0.02,0
"Pre",33,"ELGL","grass",0.06,1
"Pre",33,"ERCO","forb",0.01,0
"Pre",33,"FRVI","forb",0.01,0
"Pre",33,"HEQU","forb",0.01,0
"Pre",33,"HEMA","forb",0.02,0
"Pre",33,"HYHO","forb",0.04,0
"Pre",33,"LUAR","legume",0.03,0
"Pre",33,"MESP","grass",0.01,0
"Pre",33,"SECR","forb",0.015,0
"Pre",33,"VAOC","forb",0.025,1
"Pre",34,"CHAN","forb",0.08,0
"Pre",34,"DEBA","forb",0.01,0
"Pre",34,"ELGL","grass",0.05,1
"Pre",34,"ERGR","forb",0.015,0
"Pre",34,"GABI","forb",0.05,0
"Pre",34,"LUAR","legume",0.03,1
"Pre",34,"MECI","forb",0.08,0
"Pre",34,"NOFE","forb",0.001,0
"Pre",34,"POPR","grass",0.06,1
"Pre",34,"VAOC","forb",0.01,0
"Pre",34,"VECA","forb",0.3,1
"Pre",35,"ANSE","forb",0.002,0
"Pre",35,"CHAN","forb",0.25,1
"Pre",35,"DEBA","forb",0.2,1
"Pre",35,"ELGL","grass",0.05,1
"Pre",35,"ERGR","forb",0.005,0
"Pre",35,"HEMA","forb",0.07,0
"Pre",35,"HYHO","forb",0.05,0
"Pre",35,"LIPO","forb",0.08,0
"Pre",35,"LUAR","legume",0.03,0
"Pre",35,"MECI","forb",0.02,0
"Pre",35,"SECR","forb",0.005,0
"Pre",35,"VAOC","forb",0.05,1
"Pre",36,"CHAN","forb",0.25,1
"Pre",36,"DEBA","forb",0.03,0
"Pre",36,"ELGL","grass",0.05,0
"Pre",36,"HEMA","forb",0.08,1
"Pre",36,"HYHO","forb",0.03,0
"Pre",36,"LIPO","forb",0.07,0
"Pre",36,"MECI","forb",0.07,1
"Pre",36,"SECR","forb",0.02,0
"Pre",36,"VAOC","forb",0.03,1
"Pre",37,"CHAN","forb",0.3,0
"Pre",37,"ELGL","grass",0.08,1
"Pre",37,"ERCO","forb",0.01,0
"Pre",37,"ERGR","forb",0.005,0
"Pre",37,"GERI","forb",0.06,0
"Pre",37,"HYHO","forb",0.11,1
"Pre",37,"MECI","forb",0.005,0
"Pre",37,"NOFE","forb",0.001,0
"Pre",37,"VAOC","forb",0.15,0
"Pre",38,"CHAN","forb",0.25,1
"Pre",38,"DEBA","forb",0.15,1
"Pre",38,"ELGL","grass",0.07,0
"Pre",38,"ERCO","forb",0.04,1
"Pre",38,"HYHO","forb",0.15,1
"Pre",38,"LIPO","forb",0.1,0
"Pre",38,"LUAR","legume",0.07,1
"Pre",38,"MESP","grass",0.1,0
"Pre",39,"CHAN","forb",0.15,0
"Pre",39,"DEBA","forb",0.15,0
"Pre",39,"ELGL","grass",0.04,1
"Pre",39,"EPCI","forb",0.02,0
"Pre",39,"ERGR","forb",0.01,0
"Pre",39,"GABI","forb",0.01,0
"Pre",39,"GERI","forb",0.04,0
"Pre",39,"HEMA","forb",0.04,0
"Pre",39,"HYCA","forb",0.03,0
"Pre",39,"LUAR","legume",0.02,1
"Pre",39,"MECI","forb",0.03,0
"Pre",39,"POPR","grass",0.12,0
"Pre",39,"POGR","forb",0.05,1
"Pre",39,"RAIN","forb",0.001,0
"Pre",39,"SECR","forb",0.04,0
"Pre",39,"TRHY","legume",0.001,0
"Pre",39,"VINU","forb",0.01,0
"Pre",40,"CHAN","forb",0.007,0
"Pre",40,"ELGL","grass",0.03,0
"Pre",40,"ERCO","forb",0.02,0
"Pre",40,"ERGR","forb",0.015,0
"Pre",40,"GABI","forb",0.05,0
"Pre",40,"GERI","forb",0.15,1
"Pre",40,"HEMA","forb",0.2,0
"Pre",40,"HYHO","forb",0.015,0
"Pre",40,"LUAR","legume",0.01,1
