site,year,burial,field_plot,pair,plot,block,litter,removal,elevation,NO3,NH4,Ca,Mg,K,P,Fe,Mn,Cu,Zn,B,S,Pb,Al,Cd
Emerald Lake ,2024,overwinter,15B,15,30,1,Castilleja,R,3218.547977,352,33,2011,193,88,17,46,37,1.0,4.2,,33,3.7,40,
Emerald Lake ,2024,overwinter,16A,16,31,2,Control,C,3216.43204,46,19,2109,203,90,8,11,6,0.4,2.6,0.6,22,0.2,27,
Emerald Lake ,2024,overwinter,16B,16,32,2,Control,R,3215.721708,74,12,2667,242,44,13,11,3,0.4,2.8,,16,0.4,21,
Emerald Lake ,2024,overwinter,17A,17,33,4,Community,R,3210.958403,144,6,2639,220,55,5,12,3,0.4,3.0,,20,1.4,16,
Emerald Lake ,2024,overwinter,17B,17,34,4,Community,C,3214.838866,143,5,2992,236,111,8,47,9,1.2,4.4,1.1,32,4.9,45,0.3
Emerald Lake ,2024,overwinter,18A,18,35,5,Community,C,3208.328564,106,7,2789,207,84,24,48,7,1.4,7.1,0.4,19,10.2,21,
Emerald Lake ,2024,overwinter,18B,18,36,5,Community,R,3208.763818,227,9,3097,226,62,17,41,14,0.9,6.2,0.8,26,5.5,15,
Emerald Lake ,2024,overwinter,19A,19,37,5,Castilleja,C,3208.841651,243,15,2713,277,211,60,33,14,0.6,5.2,0.9,65,3.3,13,
Emerald Lake ,2024,overwinter,19B,19,38,5,Castilleja,R,3208.213374,94,8,3049,199,100,22,21,8,0.6,7.4,0.7,29,2.8,13,
Emerald Lake ,2024,overwinter,20A,20,39,4,Mixed,C,3210.320734,83,12,3008,112,75,15,14,4,0.7,2.5,2.5,42,2.6,29,
Emerald Lake ,2024,overwinter,20B,20,40,4,Mixed,R,3213.273701,266,9,3052,235,80,16,40,8,1.1,7.7,0.5,33,4.7,21,0.2
Emerald Lake ,2024,year,1A,1,1,1,Mixed,C,3214.529385,263,6,3649,299,244,43,25,8,1.03,5.5,1.0,50,3.56,20,0.19
Emerald Lake ,2024,year,1B,1,2,1,Mixed,R,3214.303061,188,4,4105,295,270,43,15,5,0.94,4.9,2.2,35,2.36,24,0.26
Emerald Lake ,2024,year,2A,2,3,2,Castilleja,C,3214.132079,491,3,4214,372,368,26,131,11,4.39,9.9,0.5,48,11.74,23,0.85
Emerald Lake ,2024,year,2B,2,4,2,Castilleja,R,3214.686752,373,5,4447,446,534,21,91,14,3.59,9.5,0.5,90,7.74,25,0.34
Emerald Lake ,2024,year,3A,3,5,2,Community,R,3213.215425,107,7,5008,435,345,61,14,5,1.91,9.5,1.4,61,3.31,21,0.31
Emerald Lake ,2024,year,3B,3,6,2,Community,C,3213.489248,145,4,5076,321,289,43,10,3,1.64,4.8,2.2,44,1.56,23,0.63
Emerald Lake ,2024,year,4A,4,7,2,Mixed,R,3212.745864,192,5,4216,300,256,40,22,4,1.93,7.0,1.9,90,5.02,28,0.35
Emerald Lake ,2024,year,4B,4,8,2,Mixed,C,3212.821664,200,24,5238,372,853,37,17,6,1.27,5.1,1.0,55,3.74,21,0.31
Emerald Lake ,2024,year,5A,5,9,3,Mixed,C,3214.160476,81,9,3757,395,407,24,22,5,0.57,5.8,0.7,54,1.28,21,0.28
Emerald Lake ,2024,year,5B,5,10,3,Mixed,R,3214.758873,525,13,4177,344,366,18,56,11,1.39,7.2,1.2,41,5.86,36,0.22
Emerald Lake ,2024,year,6A,6,11,3,Community,R,3218.005592,340,16,4187,483,452,17,60,17,1.84,6.4,1.1,32,10.80,28,0.23
Emerald Lake ,2024,year,6B,6,12,3,Community,C,3214.805304,660,13,4244,374,265,18,63,16,2.61,8.5,1.2,94,14.96,32,0.24
